Year,Province,Island,Class,Value
2018,,,,87531.0
2018,Malampa,,,13108.0
2018,Malampa,Ambrym,,2420.0
2018,Malampa,Ambrym,PreSchool,385.0
2018,Malampa,Ambrym,1,295.0
2018,Malampa,Ambrym,2,277.0
2018,Malampa,Ambrym,3,248.0
2018,Malampa,Ambrym,4,250.0
2018,Malampa,Ambrym,5,228.0
2018,Malampa,Ambrym,6,208.0
2018,Malampa,Ambrym,7,171.0
2018,Malampa,Ambrym,8,141.0
2018,Malampa,Ambrym,9,104.0
2018,Malampa,Ambrym,10,113.0
2018,Malampa,Atchin,,193.0
2018,Malampa,Atchin,PreSchool,41.0
2018,Malampa,Atchin,1,21.0
2018,Malampa,Atchin,2,28.0
2018,Malampa,Atchin,3,39.0
2018,Malampa,Atchin,4,31.0
2018,Malampa,Atchin,5,22.0
2018,Malampa,Atchin,6,11.0
2018,Malampa,Avock,,72.0
2018,Malampa,Avock,1,15.0
2018,Malampa,Avock,2,13.0
2018,Malampa,Avock,3,11.0
2018,Malampa,Avock,4,13.0
2018,Malampa,Avock,5,11.0
2018,Malampa,Avock,6,9.0
2018,Malampa,Malekula,,9261.0
2018,Malampa,Malekula,PreSchool,1650.0
2018,Malampa,Malekula,1,1181.0
2018,Malampa,Malekula,2,1147.0
2018,Malampa,Malekula,3,956.0
2018,Malampa,Malekula,4,874.0
2018,Malampa,Malekula,5,798.0
2018,Malampa,Malekula,6,719.0
2018,Malampa,Malekula,7,585.0
2018,Malampa,Malekula,8,423.0
2018,Malampa,Malekula,9,396.0
2018,Malampa,Malekula,10,295.0
2018,Malampa,Malekula,11,111.0
2018,Malampa,Malekula,12,96.0
2018,Malampa,Malekula,13,30.0
2018,Malampa,Maskelyns,,363.0
2018,Malampa,Maskelyns,PreSchool,63.0
2018,Malampa,Maskelyns,1,79.0
2018,Malampa,Maskelyns,2,27.0
2018,Malampa,Maskelyns,3,28.0
2018,Malampa,Maskelyns,4,24.0
2018,Malampa,Maskelyns,5,24.0
2018,Malampa,Maskelyns,6,32.0
2018,Malampa,Maskelyns,7,23.0
2018,Malampa,Maskelyns,8,19.0
2018,Malampa,Maskelyns,9,20.0
2018,Malampa,Maskelyns,10,24.0
2018,Malampa,Paama,,434.0
2018,Malampa,Paama,PreSchool,80.0
2018,Malampa,Paama,1,27.0
2018,Malampa,Paama,2,40.0
2018,Malampa,Paama,3,63.0
2018,Malampa,Paama,4,40.0
2018,Malampa,Paama,5,39.0
2018,Malampa,Paama,6,35.0
2018,Malampa,Paama,7,36.0
2018,Malampa,Paama,8,16.0
2018,Malampa,Paama,9,41.0
2018,Malampa,Paama,10,17.0
2018,Malampa,Uripiv,,96.0
2018,Malampa,Uripiv,1,20.0
2018,Malampa,Uripiv,2,18.0
2018,Malampa,Uripiv,3,13.0
2018,Malampa,Uripiv,4,16.0
2018,Malampa,Uripiv,5,20.0
2018,Malampa,Uripiv,6,9.0
2018,Malampa,Vao,,269.0
2018,Malampa,Vao,1,57.0
2018,Malampa,Vao,2,69.0
2018,Malampa,Vao,3,44.0
2018,Malampa,Vao,4,43.0
2018,Malampa,Vao,5,29.0
2018,Malampa,Vao,6,27.0
2018,Penama,,,10564.0
2018,Penama,Ambae,,3342.0
2018,Penama,Ambae,PreSchool,566.0
2018,Penama,Ambae,1,398.0
2018,Penama,Ambae,2,427.0
2018,Penama,Ambae,3,346.0
2018,Penama,Ambae,4,341.0
2018,Penama,Ambae,5,285.0
2018,Penama,Ambae,6,253.0
2018,Penama,Ambae,7,164.0
2018,Penama,Ambae,8,140.0
2018,Penama,Ambae,9,131.0
2018,Penama,Ambae,10,125.0
2018,Penama,Ambae,11,67.0
2018,Penama,Ambae,12,58.0
2018,Penama,Ambae,13,41.0
2018,Penama,Maewo,,1295.0
2018,Penama,Maewo,PreSchool,226.0
2018,Penama,Maewo,1,236.0
2018,Penama,Maewo,2,158.0
2018,Penama,Maewo,3,171.0
2018,Penama,Maewo,4,122.0
2018,Penama,Maewo,5,88.0
2018,Penama,Maewo,6,103.0
2018,Penama,Maewo,7,54.0
2018,Penama,Maewo,8,57.0
2018,Penama,Maewo,9,30.0
2018,Penama,Maewo,10,50.0
2018,Penama,Pentecost,,5927.0
2018,Penama,Pentecost,PreSchool,1019.0
2018,Penama,Pentecost,1,902.0
2018,Penama,Pentecost,2,704.0
2018,Penama,Pentecost,3,722.0
2018,Penama,Pentecost,4,569.0
2018,Penama,Pentecost,5,578.0
2018,Penama,Pentecost,6,436.0
2018,Penama,Pentecost,7,272.0
2018,Penama,Pentecost,8,201.0
2018,Penama,Pentecost,9,235.0
2018,Penama,Pentecost,10,170.0
2018,Penama,Pentecost,11,66.0
2018,Penama,Pentecost,12,38.0
2018,Penama,Pentecost,13,15.0
2018,Sanma,,,19140.0
2018,Sanma,Aore,,325.0
2018,Sanma,Aore,PreSchool,11.0
2018,Sanma,Aore,1,17.0
2018,Sanma,Aore,2,19.0
2018,Sanma,Aore,3,11.0
2018,Sanma,Aore,4,15.0
2018,Sanma,Aore,5,7.0
2018,Sanma,Aore,6,10.0
2018,Sanma,Aore,7,19.0
2018,Sanma,Aore,8,21.0
2018,Sanma,Aore,9,44.0
2018,Sanma,Aore,10,43.0
2018,Sanma,Aore,11,45.0
2018,Sanma,Aore,12,39.0
2018,Sanma,Aore,13,24.0
2018,Sanma,Araki,,44.0
2018,Sanma,Araki,1,18.0
2018,Sanma,Araki,2,4.0
2018,Sanma,Araki,3,4.0
2018,Sanma,Araki,4,8.0
2018,Sanma,Araki,6,10.0
2018,Sanma,Malo,,1379.0
2018,Sanma,Malo,PreSchool,364.0
2018,Sanma,Malo,1,177.0
2018,Sanma,Malo,2,173.0
2018,Sanma,Malo,3,137.0
2018,Sanma,Malo,4,124.0
2018,Sanma,Malo,5,100.0
2018,Sanma,Malo,6,87.0
2018,Sanma,Malo,7,62.0
2018,Sanma,Malo,8,70.0
2018,Sanma,Malo,9,28.0
2018,Sanma,Malo,10,57.0
2018,Sanma,Mavea,,38.0
2018,Sanma,Mavea,PreSchool,14.0
2018,Sanma,Mavea,1,4.0
2018,Sanma,Mavea,2,8.0
2018,Sanma,Mavea,3,2.0
2018,Sanma,Mavea,4,1.0
2018,Sanma,Mavea,5,5.0
2018,Sanma,Mavea,6,4.0
2018,Sanma,Santo,,17202.0
2018,Sanma,Santo,PreSchool,3247.0
2018,Sanma,Santo,1,2348.0
2018,Sanma,Santo,2,2028.0
2018,Sanma,Santo,3,1551.0
2018,Sanma,Santo,4,1520.0
2018,Sanma,Santo,5,1309.0
2018,Sanma,Santo,6,1166.0
2018,Sanma,Santo,7,992.0
2018,Sanma,Santo,8,763.0
2018,Sanma,Santo,9,672.0
2018,Sanma,Santo,10,587.0
2018,Sanma,Santo,11,492.0
2018,Sanma,Santo,12,340.0
2018,Sanma,Santo,13,167.0
2018,Sanma,Santo,14,20.0
2018,Sanma,Tutuba,,152.0
2018,Sanma,Tutuba,PreSchool,37.0
2018,Sanma,Tutuba,1,25.0
2018,Sanma,Tutuba,2,21.0
2018,Sanma,Tutuba,3,16.0
2018,Sanma,Tutuba,4,9.0
2018,Sanma,Tutuba,5,18.0
2018,Sanma,Tutuba,6,26.0
2018,Shefa,,,25903.0
2018,Shefa,Buninga,,27.0
2018,Shefa,Buninga,PreSchool,6.0
2018,Shefa,Buninga,1,4.0
2018,Shefa,Buninga,3,9.0
2018,Shefa,Buninga,5,5.0
2018,Shefa,Buninga,6,3.0
2018,Shefa,Efate,,21030.0
2018,Shefa,Efate,PreSchool,3684.0
2018,Shefa,Efate,1,2072.0
2018,Shefa,Efate,2,2017.0
2018,Shefa,Efate,3,1765.0
2018,Shefa,Efate,4,1675.0
2018,Shefa,Efate,5,1653.0
2018,Shefa,Efate,6,1557.0
2018,Shefa,Efate,7,1430.0
2018,Shefa,Efate,8,1305.0
2018,Shefa,Efate,9,1035.0
2018,Shefa,Efate,10,791.0
2018,Shefa,Efate,11,701.0
2018,Shefa,Efate,12,639.0
2018,Shefa,Efate,13,515.0
2018,Shefa,Efate,14,191.0
2018,Shefa,Emae,,217.0
2018,Shefa,Emae,PreSchool,30.0
2018,Shefa,Emae,1,14.0
2018,Shefa,Emae,2,31.0
2018,Shefa,Emae,3,26.0
2018,Shefa,Emae,4,26.0
2018,Shefa,Emae,5,31.0
2018,Shefa,Emae,6,14.0
2018,Shefa,Emae,8,17.0
2018,Shefa,Emae,9,9.0
2018,Shefa,Emae,10,19.0
2018,Shefa,Emao,,286.0
2018,Shefa,Emao,PreSchool,53.0
2018,Shefa,Emao,1,47.0
2018,Shefa,Emao,2,26.0
2018,Shefa,Emao,3,38.0
2018,Shefa,Emao,4,32.0
2018,Shefa,Emao,5,31.0
2018,Shefa,Emao,6,17.0
2018,Shefa,Emao,7,22.0
2018,Shefa,Emao,8,20.0
2018,Shefa,Epi,,2408.0
2018,Shefa,Epi,PreSchool,474.0
2018,Shefa,Epi,1,335.0
2018,Shefa,Epi,2,279.0
2018,Shefa,Epi,3,236.0
2018,Shefa,Epi,4,215.0
2018,Shefa,Epi,5,190.0
2018,Shefa,Epi,6,165.0
2018,Shefa,Epi,7,118.0
2018,Shefa,Epi,8,87.0
2018,Shefa,Epi,9,141.0
2018,Shefa,Epi,10,85.0
2018,Shefa,Epi,11,44.0
2018,Shefa,Epi,12,39.0
2018,Shefa,Ifira,,181.0
2018,Shefa,Ifira,PreSchool,34.0
2018,Shefa,Ifira,1,19.0
2018,Shefa,Ifira,2,37.0
2018,Shefa,Ifira,3,24.0
2018,Shefa,Ifira,4,22.0
2018,Shefa,Ifira,5,28.0
2018,Shefa,Ifira,6,17.0
2018,Shefa,Lamen,,39.0
2018,Shefa,Lamen,PreSchool,39.0
2018,Shefa,Lelepa,,104.0
2018,Shefa,Lelepa,PreSchool,29.0
2018,Shefa,Lelepa,1,11.0
2018,Shefa,Lelepa,2,22.0
2018,Shefa,Lelepa,3,8.0
2018,Shefa,Lelepa,4,11.0
2018,Shefa,Lelepa,5,12.0
2018,Shefa,Lelepa,6,11.0
2018,Shefa,Makira,,42.0
2018,Shefa,Makira,PreSchool,10.0
2018,Shefa,Makira,1,9.0
2018,Shefa,Makira,2,6.0
2018,Shefa,Makira,3,7.0
2018,Shefa,Makira,4,3.0
2018,Shefa,Makira,6,7.0
2018,Shefa,Matoso,,45.0
2018,Shefa,Matoso,PreSchool,10.0
2018,Shefa,Matoso,1,9.0
2018,Shefa,Matoso,2,8.0
2018,Shefa,Matoso,3,5.0
2018,Shefa,Matoso,4,4.0
2018,Shefa,Matoso,6,9.0
2018,Shefa,Moso,,109.0
2018,Shefa,Moso,PreSchool,7.0
2018,Shefa,Moso,1,20.0
2018,Shefa,Moso,2,13.0
2018,Shefa,Moso,3,26.0
2018,Shefa,Moso,4,16.0
2018,Shefa,Moso,5,13.0
2018,Shefa,Moso,6,14.0
2018,Shefa,Nguna,,459.0
2018,Shefa,Nguna,PreSchool,103.0
2018,Shefa,Nguna,1,60.0
2018,Shefa,Nguna,2,48.0
2018,Shefa,Nguna,3,44.0
2018,Shefa,Nguna,4,42.0
2018,Shefa,Nguna,5,45.0
2018,Shefa,Nguna,6,39.0
2018,Shefa,Nguna,7,35.0
2018,Shefa,Nguna,8,43.0
2018,Shefa,Pele,,99.0
2018,Shefa,Pele,1,17.0
2018,Shefa,Pele,2,17.0
2018,Shefa,Pele,3,19.0
2018,Shefa,Pele,4,16.0
2018,Shefa,Pele,5,16.0
2018,Shefa,Pele,6,14.0
2018,Shefa,Tongariki,,90.0
2018,Shefa,Tongariki,PreSchool,21.0
2018,Shefa,Tongariki,1,15.0
2018,Shefa,Tongariki,2,12.0
2018,Shefa,Tongariki,3,8.0
2018,Shefa,Tongariki,4,14.0
2018,Shefa,Tongariki,5,11.0
2018,Shefa,Tongariki,6,9.0
2018,Shefa,Tongoa,,767.0
2018,Shefa,Tongoa,PreSchool,145.0
2018,Shefa,Tongoa,1,105.0
2018,Shefa,Tongoa,2,107.0
2018,Shefa,Tongoa,3,69.0
2018,Shefa,Tongoa,4,83.0
2018,Shefa,Tongoa,5,64.0
2018,Shefa,Tongoa,6,81.0
2018,Shefa,Tongoa,7,21.0
2018,Shefa,Tongoa,8,53.0
2018,Shefa,Tongoa,9,18.0
2018,Shefa,Tongoa,10,21.0
2018,Tafea,,,15477.0
2018,Tafea,Aneityum,,464.0
2018,Tafea,Aneityum,PreSchool,56.0
2018,Tafea,Aneityum,1,61.0
2018,Tafea,Aneityum,2,65.0
2018,Tafea,Aneityum,3,52.0
2018,Tafea,Aneityum,4,43.0
2018,Tafea,Aneityum,5,50.0
2018,Tafea,Aneityum,6,33.0
2018,Tafea,Aneityum,7,34.0
2018,Tafea,Aneityum,8,31.0
2018,Tafea,Aneityum,9,26.0
2018,Tafea,Aneityum,10,13.0
2018,Tafea,Aniwa,,114.0
2018,Tafea,Aniwa,PreSchool,28.0
2018,Tafea,Aniwa,1,15.0
2018,Tafea,Aniwa,2,15.0
2018,Tafea,Aniwa,3,11.0
2018,Tafea,Aniwa,4,9.0
2018,Tafea,Aniwa,5,11.0
2018,Tafea,Aniwa,6,13.0
2018,Tafea,Aniwa,7,12.0
2018,Tafea,Erromango,,897.0
2018,Tafea,Erromango,PreSchool,137.0
2018,Tafea,Erromango,1,114.0
2018,Tafea,Erromango,2,116.0
2018,Tafea,Erromango,3,111.0
2018,Tafea,Erromango,4,102.0
2018,Tafea,Erromango,5,74.0
2018,Tafea,Erromango,6,49.0
2018,Tafea,Erromango,7,75.0
2018,Tafea,Erromango,8,47.0
2018,Tafea,Erromango,9,33.0
2018,Tafea,Erromango,10,39.0
2018,Tafea,Futuna,,284.0
2018,Tafea,Futuna,PreSchool,38.0
2018,Tafea,Futuna,1,31.0
2018,Tafea,Futuna,2,22.0
2018,Tafea,Futuna,3,25.0
2018,Tafea,Futuna,4,31.0
2018,Tafea,Futuna,5,19.0
2018,Tafea,Futuna,6,13.0
2018,Tafea,Futuna,7,20.0
2018,Tafea,Futuna,8,26.0
2018,Tafea,Futuna,9,29.0
2018,Tafea,Futuna,10,30.0
2018,Tafea,Tanna,,13718.0
2018,Tafea,Tanna,PreSchool,2434.0
2018,Tafea,Tanna,1,2008.0
2018,Tafea,Tanna,2,1930.0
2018,Tafea,Tanna,3,1556.0
2018,Tafea,Tanna,4,1352.0
2018,Tafea,Tanna,5,1104.0
2018,Tafea,Tanna,6,1032.0
2018,Tafea,Tanna,7,663.0
2018,Tafea,Tanna,8,615.0
